name,alpha,n,p,t,fdr_passes,adj_p,est_ess,t_clustered,robust
Revenue YoY 60d (announce date),2.09,27933,1e-19,9.16,True,3.1666666666666667e-19,931,1.6722897331819828,False
Quiet Limitup 20d,5.163,5437,1e-58,16.18,True,9.500000000000001e-58,181,2.9521480817965218,True
Quiet Limitdown 20d,8.545,4915,1e-180,28.91,True,1.9000000000000002e-179,164,5.280903780660091,True
Quiet Limitup × VIX<18 (matched),-0.25,1871,0.6859,-0.48,False,0.7665941176470588,62,-0.08737761541172936,False
Quiet Limitup × VIX 18-25,5.3,1642,1e-18,8.84,True,2.7142857142857145e-18,55,1.6178827083500447,False
Quiet Limitup × VIX 25-35,3.66,857,1e-05,4.28,True,2.111111111111111e-05,29,0.7873219455688563,False
Quiet Limitup × VIX≥35 (matched),9.05,1067,1e-38,13.11,True,4.749999999999999e-38,36,2.408084555770692,True
Quiet Limitdown × VIX<18 (matched),-1.66,972,0.9928,-2.45,False,0.9927999999999999,32,-0.4445370273939842,False
Quiet Limitdown × VIX 18-25,5.73,908,1e-13,7.53,True,2.375e-13,30,1.368713904840586,False
Quiet Limitdown × VIX 25-35,9.11,755,1e-24,10.37,True,3.7999999999999995e-24,25,1.8870147067024299,False
Quiet Limitdown × VIX≥35 (matched),7.36,2280,1e-42,13.72,True,6.333333333333334e-42,76,2.50491782965696,True
Revenue YoY × 資訊服務業,3.34,460,0.0114,2.29,True,0.015471428571428572,15,0.4135254053496172,False
Revenue YoY × 半導體業,5.48,1967,0.0007,3.18,True,0.001209090909090909,66,0.582501311880629,False
Revenue YoY × 通信網路業,3.49,1018,0.0014,2.99,True,0.002046153846153846,34,0.5464327969400348,False
Revenue YoY × 電腦及週邊設備業,3.17,1529,0.0001,3.82,True,0.00019,51,0.6976614210844597,False
Revenue YoY × 紡織纖維,-0.69,622,0.857,-1.07,False,0.9046111111111111,21,-0.19660666332631935,False
Revenue YoY × 鋼鐵工業,0.73,680,0.203,0.83,False,0.2571333333333333,23,0.1526467471378434,False
Revenue YoY × 電子通路業,-0.56,383,0.682,-0.47,False,0.7665941176470588,13,-0.08659048000302369,False
妖股 #1 (連漲+法人) 60d,8.48,152,0.001,4.36,True,0.0015833333333333333,5,0.7907691126199128,False
