z_thresh,hold,baseline_mean,long_n,long_mean,long_win_pct,long_alpha,long_t,short_n,short_mean,short_win_pct,short_alpha,short_t,abs_long_alpha,abs_short_alpha
1.0,5,0.38,381,0.791,67.5,0.411,2.96,540,-0.0,43.8,0.38,3.25,0.411,0.38
1.0,10,0.754,381,1.591,72.7,0.837,4.21,535,0.24,40.3,0.515,3.07,0.837,0.515
1.0,20,1.479,381,2.339,69.0,0.86,3.02,534,0.705,39.2,0.775,3.23,0.86,0.775
1.0,60,4.519,378,4.305,68.5,-0.214,-0.44,516,4.007,33.8,0.512,1.22,0.214,0.512
1.5,5,0.38,202,0.79,66.8,0.411,2.15,301,-0.239,45.1,0.618,3.95,0.411,0.618
1.5,10,0.754,202,1.606,71.3,0.852,3.12,300,-0.07,41.8,0.824,3.68,0.852,0.824
1.5,20,1.479,202,1.958,65.3,0.479,1.23,300,0.656,38.2,0.823,2.57,0.479,0.823
1.5,60,4.519,201,3.531,66.3,-0.987,-1.47,288,4.104,37.5,0.414,0.74,0.987,0.414
2.0,5,0.38,79,1.237,70.9,0.857,2.81,123,-0.397,48.0,0.776,3.17,0.857,0.776
2.0,10,0.754,79,1.796,70.9,1.042,2.39,123,-0.677,47.2,1.431,4.09,1.042,1.431
2.0,20,1.479,79,1.46,59.5,-0.02,-0.03,123,0.51,39.0,0.969,1.94,0.02,0.969
2.0,60,4.519,79,3.259,67.1,-1.26,-1.17,114,4.343,35.0,0.175,0.2,1.26,0.175
2.5,5,0.38,29,2.133,89.7,1.754,,37,-1.106,59.5,1.486,3.33,1.754,1.486
2.5,10,0.754,29,3.511,93.1,2.757,,37,-1.571,54.1,2.326,3.64,2.757,2.326
2.5,20,1.479,29,4.508,79.3,3.029,,37,-0.615,43.2,2.094,2.3,3.029,2.094
2.5,60,4.519,29,7.549,86.2,3.031,,33,2.774,32.4,1.744,1.05,3.031,1.744
