threshold,hold,n,mean,baseline,alpha,win_pct,t_stat
5,5,161440,0.22,0.36,-0.14,48.4,-9.96
5,10,161440,0.37,0.67,-0.3,48.6,-14.97
5,20,161440,0.75,1.44,-0.69,48.2,-23.5
5,60,161440,2.77,4.39,-1.62,48.8,-28.46
6,5,100188,0.2,0.28,-0.08,48.7,-4.36
6,10,100188,0.36,0.54,-0.18,48.8,-7.02
6,20,100188,0.76,1.31,-0.55,48.6,-14.52
6,60,100188,2.82,4.32,-1.51,48.9,-21.05
7,5,55072,0.19,0.3,-0.1,49.0,-4.26
7,10,55072,0.33,0.62,-0.29,48.9,-8.36
7,20,55072,0.69,1.41,-0.72,48.9,-13.98
7,60,55072,2.72,4.61,-1.89,49.7,-19.54
8,5,20060,0.22,0.38,-0.16,49.7,-4.03
8,10,20060,0.44,0.76,-0.32,49.7,-5.73
8,20,20060,0.83,1.49,-0.66,49.8,-7.97
8,60,20060,3.46,4.66,-1.21,51.9,-7.39
