z_thresh,hold,base_mean,long_n,long_mean,long_win_pct,long_alpha,long_t,short_n,short_mean,short_win_pct,short_alpha,short_t
1.0,5,0.409,160,0.639,63.7,0.231,1.05,157,0.817,33.5,-0.408,-1.85
1.0,10,0.821,160,1.241,63.1,0.42,1.35,157,1.393,31.0,-0.572,-1.82
1.0,20,1.594,160,1.944,66.2,0.351,0.78,151,2.394,29.7,-0.8,-1.73
1.0,60,4.449,147,4.301,56.2,-0.149,-0.18,142,4.874,25.9,-0.425,-0.51
1.5,5,0.409,85,0.798,65.9,0.39,1.3,67,0.856,31.3,-0.447,-1.32
1.5,10,0.821,85,1.365,65.9,0.543,1.27,67,1.025,34.3,-0.204,-0.42
1.5,20,1.594,85,1.572,67.1,-0.022,-0.04,66,2.337,28.4,-0.743,-1.06
1.5,60,4.449,78,4.267,56.5,-0.183,-0.16,61,5.552,16.4,-1.103,-0.87
2.0,5,0.409,45,1.037,68.9,0.628,1.52,32,0.681,37.5,-0.273,-0.56
2.0,10,0.821,45,1.698,71.1,0.877,1.5,32,1.414,34.4,-0.593,-0.85
2.0,20,1.594,45,2.487,73.3,0.893,1.05,31,2.196,25.0,-0.602,-0.59
2.0,60,4.449,41,5.405,51.1,0.955,0.62,29,5.461,15.6,-1.012,
2.5,5,0.409,23,1.202,69.6,0.793,,13,0.322,38.5,0.087,
2.5,10,0.821,23,1.15,60.9,0.329,,13,1.631,30.8,-0.81,
2.5,20,1.594,23,2.015,69.6,0.421,,12,1.871,38.5,-0.277,
2.5,60,4.449,20,7.517,56.5,3.067,,11,2.249,23.1,2.201,
